month,count_of_riders,member_casual
1,40008,casual
1,150293,member
2,43016,casual
2,147429,member
3,62201,casual
3,196477,member
4,279305,member
4,147285,casual
5,370646,member
5,234181,casual
6,418388,member
6,301230,casual
7,436292,member
7,331358,casual
8,311130,casual
8,460563,member
9,404736,member
9,261635,casual
10,177071,casual
10,360042,member
11,264126,member
11,98392,casual
12,51672,casual
12,172401,member
